study_id,dataset,meas_year,nee,gpp,reco,flux_method,lat,long,permafrost,biome
Roulet_MerBleue_tower_1_Virkkala,SantaBarbs,2002,-14,NA,NA,Ec,45.41,-75.5187,No,Boreal
Roulet_MerBleue_tower_1_Virkkala,SantaBarbs,2000,-1,NA,NA,Ec,45.41,-75.5187,No,Boreal
Roulet_MerBleue_tower_1_Virkkala,SantaBarbs,1998,-59,NA,NA,Ec,45.41,-75.5187,No,Boreal
McCaughey_CA-Gro_tower1,ABC,2009,-142.6451453,-1052.279345,910.634578,EC,48.2167,-82.1556,No,Boreal
McCaughey_CA-Gro_tower1,ABC,2010,-222.004394,-1015.686673,794.682312,EC,48.2167,-82.1556,No,Boreal
McCaughey_CA-Gro_tower1,ABC,2008,-94.8374448,-1251.564206,1157.726329,EC,48.2167,-82.1556,No,Boreal
McCaughey_CA-Gro_tower1,ABC,2004,-150.5338976,-1009.730625,860.196855,EC,48.2167,-82.1556,No,Boreal
McCaughey_CA-Gro_tower1,ABC,2005,-101.056363,-1210.984264,1110.92774,EC,48.2167,-82.1556,No,Boreal
McCaughey_CA-Gro_tower1,ABC,2006,-69.97819327,-1186.879795,1117.901498,EC,48.2167,-82.1556,No,Boreal
McCaughey_CA-Gro_tower1,ABC,2007,-55.5861228,-1130.400277,1075.814326,EC,48.2167,-82.1556,No,Boreal
McCaughey_CA-Gro_tower1,ABC,2012,-131.031401,-945.3276221,815.296117,EC,48.2167,-82.1556,No,Boreal
McCaughey_CA-Gro_tower1,ABC,2013,-100.17051,-836.4435794,737.272925,EC,48.2167,-82.1556,No,Boreal
McCaughey_CA-Gro_tower1,ABC,2011,-147.4458812,-943.4027074,796.956461,EC,48.2167,-82.1556,No,Boreal
Miyazaki_MO-UFRS_tower1,ABC,2011,-134.4366579,NA,573.365747,EC,48.27333333,106.8508333,Yes,Boreal
Miyazaki_MO-UFRS_tower1,ABC,2012,-269.9984785,NA,NA,EC,48.27333333,106.8508333,Yes,Boreal
Miyazaki_MO-UFRS_tower1,ABC,2010,-235.6162323,NA,NA,EC,48.27333333,106.8508333,Yes,Boreal
Margolis_CA-Qfo_tower1,ABC,2007,5.276785,-627.5016265,633.778317,EC,49.6925,-74.34206,No,Boreal
Margolis_CA-Qfo_tower1,ABC,2008,11.12004,-673.7211728,685.841069,EC,49.6925,-74.34206,No,Boreal
Margolis_CA-Qfo_tower1,ABC,2010,1.936628,-644.9053736,647.842232,EC,49.6925,-74.34206,No,Boreal
Margolis_CA-Qfo_tower1,ABC,2004,-28.629748,-647.8929614,620.263325,EC,49.6925,-74.34206,No,Boreal
Margolis_CA-Qfo_tower1,ABC,2005,14.604472,-697.7508514,713.355883,EC,49.6925,-74.34206,No,Boreal
Margolis_CA-Qfo_tower1,ABC,2009,-7.681475,-584.7572721,578.075577,EC,49.6925,-74.34206,No,Boreal
Margolis_CA-Qfo_tower1,ABC,2006,-9.84455,-717.7430745,708.898509,EC,49.6925,-74.34206,No,Boreal
Mkhabela_HJP02_tower7,ABC,2004,158.5580306,-86.50942046,248.3524715,EC,53.15,-104.1,No,Boreal
Mkhabela_HJP02_tower7,ABC,2005,127.4303002,NA,233.3497565,EC,53.15,-104.1,No,Boreal
Mkhabela_HJP75_tower5,ABC,2005,-80.58653345,-585.6436058,527.5644527,EC,53.15,-104.1,No,Boreal
Mkhabela_HJP94_tower6,ABC,2004,11.9074316,NA,358.0605535,EC,53.15,-104.116667,No,Boreal
Mkhabela_HJP94_tower6,ABC,2005,-33.40757517,-420.7619458,388.5395819,EC,53.15,-104.116667,No,Boreal
Goulden_CA-Oas_tower1,ABC,1999,-94.998262,-1131.121967,1037.124507,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2010,-109.0555697,-1193.089625,1085.034085,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2000,-191.6034459,-1142.228835,951.62686,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2007,44.392797,-1027.033172,1072.426327,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2002,-104.954406,-934.8490814,830.894527,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,1998,-242.67925,-1319.085103,1077.404561,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2003,-94.479922,-977.2351907,883.755007,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,1997,-90.647109,-1162.970365,1073.32161,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2008,-75.687031,-1093.628407,1018.939815,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2006,-147.7372077,-1293.755138,1147.01875,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2009,-162.420858,-1154.140321,992.719289,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2004,3.458234,-894.807363,899.2655,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2001,-341.299966,-1306.159323,965.858278,EC,53.62889,-106.19779,No,Boreal
Goulden_CA-Oas_tower1,ABC,2005,-125.845981,-1117.33404,992.48798,EC,53.62889,-106.19779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2007,-39.592098,-875.1046849,836.512471,EC,53.98717,-105.11779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2009,11.670802,-898.5315366,911.202042,EC,53.98717,-105.11779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2006,-73.151841,-847.9404109,775.787661,EC,53.98717,-105.11779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2001,-50.6632802,-862.1742517,812.511634,EC,53.98717,-105.11779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2008,7.834928,-864.3596884,873.194738,EC,53.98717,-105.11779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2003,-72.9432387,-803.3207344,731.377204,EC,53.98717,-105.11779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2004,-23.814677,-768.4713955,745.656433,EC,53.98717,-105.11779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2005,-56.348752,-882.220229,826.87152,EC,53.98717,-105.11779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2002,-39.017789,-744.4324701,706.415006,EC,53.98717,-105.11779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2010,-34.371192,-981.1366011,947.764897,EC,53.98717,-105.11779,No,Boreal
Margolis_CA-Obs_tower1,ABC,2000,-55.8340813,-832.7519295,777.918201,EC,53.98717,-105.11779,No,Boreal
Bergeron_CA-sOBS_tower1,ABC,2004,-36.1280503,NA,658.9452256,EC,53.99,-105.12,No,Boreal
Kljun_CA-sOBS_tower2,ABC,2000,-61.06311825,NA,830.6746803,EC,53.99,-105.12,No,Boreal
Kljun_CA-sOBS_tower2,ABC,2001,-74.47607312,NA,851.1330224,EC,53.99,-105.12,No,Boreal
Kljun_CA-sOBS_tower2,ABC,2002,-31.65588361,NA,NA,EC,53.99,-105.12,No,Boreal
Kljun_CA-sOBS_tower2,ABC,2003,-46.61510513,NA,NA,EC,53.99,-105.12,No,Boreal
Syed_CA-WP1_tower1,ABC,2004,-145.9861948,-696.2880841,598.4520378,EC,54.95384,-112.46698,No,Boreal
Goulden_CA-NS5_tower5,ABC,2002,-132.1862912,-648.8311277,517.6453198,EC,55.86306,-98.485,Yes,Boreal
Goulden_CA-NS5_tower5,ABC,2004,-87.23472,-679.2347825,592.999829,EC,55.86306,-98.485,Yes,Boreal
Goulden_CA-NS1_tower1,ABC,2003,-88.9379134,-834.978059,747.039755,EC,55.87917,-98.48389,Yes,Boreal
Goulden_CA-NS1_tower1,ABC,2004,-57.029041,-640.9108467,584.882124,EC,55.87917,-98.48389,Yes,Boreal
McCaughey_CA-Man_tower1,ABC,2001,-60.28624499,-690.2026998,630.916585,EC,55.87962,-98.48081,No,Boreal
McCaughey_CA-Man_tower1,ABC,2000,26.4062143,-626.6559503,654.062148,EC,55.87962,-98.48081,No,Boreal
McCaughey_CA-Man_tower1,ABC,2002,-47.00241,-598.7697751,552.766875,EC,55.87962,-98.48081,No,Boreal
McCaughey_CA-Man_tower1,ABC,2003,-68.7035196,-689.2353965,621.532207,EC,55.87962,-98.48081,No,Boreal
McCaughey_CA-Man_tower1,ABC,1999,-41.4678907,-707.6837773,667.215682,EC,55.87962,-98.48081,No,Boreal
McCaughey_CA-Man_tower1,ABC,1997,-1.3786231,-926.6120265,926.245172,EC,55.87962,-98.48081,No,Boreal
McCaughey_CA-Man_tower1,ABC,1998,-3.562284,-754.7616423,752.199369,EC,55.87962,-98.48081,No,Boreal
McCaughey_CA-Man_tower1,ABC,1995,-2.03471,-751.5291648,750.4942666,EC,55.87962,-98.48081,No,Boreal
Goulden_CA-NS2_tower2,ABC,2002,-192.7329232,-930.8830217,739.2658208,EC,55.90583,-98.52472,Yes,Boreal
Goulden_CA-NS3_tower3,ABC,2002,-69.5582688,-636.5215881,567.9628388,EC,55.91167,-98.38222,Yes,Boreal
Goulden_CA-NS3_tower3,ABC,2003,-68.8668818,-637.2803771,569.413158,EC,55.91167,-98.38222,Yes,Boreal
Goulden_CA-NS3_tower3,ABC,2004,-44.387345,-604.3035767,560.916446,EC,55.91167,-98.38222,Yes,Boreal
Goulden_CA-NS6_tower6,ABC,2002,-23.716859,-416.4659877,393.749115,EC,55.91667,-98.96444,Yes,Boreal
Goulden_CA-NS6_tower6,ABC,2003,-12.679602,-437.7002635,426.020774,EC,55.91667,-98.96444,Yes,Boreal
Goulden_CA-NS6_tower6,ABC,2004,1.037831,-409.6281257,411.66601,EC,55.91667,-98.96444,Yes,Boreal
Varlagin_RU-Fyo_tower1,ABC,2009,-21.23,-1617.64,1598.33,EC,56.4615278,32.9220833,No,Boreal
Varlagin_RU-Fyo_tower1,ABC,1999,318.56,-1411.11,1731.29,EC,56.4615278,32.9220833,No,Boreal
Varlagin_RU-Fyo_tower1,ABC,2003,182.07,-1290.23,1472.97,EC,56.4615278,32.9220833,No,Boreal
Varlagin_RU-Fyo_tower1,ABC,2007,16.29,-1609.61,1628.75,EC,56.4615278,32.9220833,No,Boreal
Varlagin_RU-Fyo_tower1,ABC,2000,271.92,-1333.27,1607.08,EC,56.4615278,32.9220833,No,Boreal
Varlagin_RU-Fyo_tower1,ABC,2001,271.6,NA,1728.51,EC,56.4615278,32.9220833,No,Boreal
Varlagin_RU-Fyo_tower1,ABC,2008,91.72,-1449.88,1542.91,EC,56.4615278,32.9220833,No,Boreal
Varlagin_RU-Fyo_tower1,ABC,2004,112.52,NA,1417.68,EC,56.4615278,32.9220833,No,Boreal
Varlagin_RU-Fyo_tower1,ABC,2005,71.11,-1465.07,1537.78,EC,56.4615278,32.9220833,No,Boreal
Varlagin_RU-Fyo_tower1,ABC,2006,90.86,-1489.84,1581.72,EC,56.4615278,32.9220833,No,Boreal
Goulden_CA-NS7_tower7,ABC,2004,54.684586,-392.3972702,448.081688,EC,56.63583,-99.94833,Yes,Boreal
Goulden_CA-NS7_tower7,ABC,2003,136.35342,-428.8644934,566.217684,EC,56.63583,-99.94833,Yes,Boreal
Heffernan_Lutose_ch02,ABC,2017,-46.13456089,-381.7530032,329.4398588,Ch,59.485,-117.177,No,Boreal
Heffernan_Lutose_ch02,ABC,2018,-25.02078484,-364.025183,331.9826189,Ch,59.485,-117.177,No,Boreal
Heffernan_Lutose_ch02,ABC,2016,28.98219617,-366.2540367,386.2331357,Ch,59.485,-117.177,No,Boreal
Heffernan_Lutose_ch03,ABC,2016,NA,NA,373.5428622,Ch,59.485,-117.177,Yes,Boreal
Heffernan_Lutose_ch04,ABC,2017,NA,NA,311.9154532,Ch,59.485,-117.177,Yes,Boreal
Heffernan_Lutose_ch05,ABC,2016,67.25006213,-103.6325686,150.8157985,Ch,59.485,-117.177,No,Boreal
Heffernan_Lutose_ch05,ABC,2017,-75.27868829,-288.8669117,196.1804707,Ch,59.485,-117.177,No,Boreal
Heffernan_Lutose_ch05,ABC,2018,41.19623895,-143.1812803,166.4596604,Ch,59.485,-117.177,No,Boreal
Lindroth_SE-Nor_tower1,ABC,1999,110.87,-1254.25,1366.11,EC,60.08649722,17.47950278,No,Boreal
Lindroth_SE-Nor_tower1,ABC,2005,42.67,NA,617.92,EC,60.08649722,17.47950278,No,Boreal
Lindroth_SE-Nor_tower1,ABC,2007,-357.61,-2084.67,1727.74,EC,60.08649722,17.47950278,No,Boreal
Lindroth_SE-Nor_tower1,ABC,2006,150.14,-1490.19,1641.64,EC,60.08649722,17.47950278,No,Boreal
Lindroth_SE-Nor_tower1,ABC,2003,89.55,-1237.21,1327.76,EC,60.08649722,17.47950278,No,Boreal
Grelle_SE-Sk1_tower1,ABC,2005,179.16,NA,707.93,EC,60.125,17.91805556,No,Boreal
Grelle_SE-Sk1_tower1,ABC,2006,277.79,-474.46,753.53,EC,60.125,17.91805556,No,Boreal
Grelle_SE-Sk1_tower1,ABC,2007,164.09,NA,647.87,EC,60.125,17.91805556,No,Boreal
Grelle_SE-Sk1_tower1,ABC,2008,149.63,-474.3,624.33,EC,60.125,17.91805556,No,Boreal
Laurila_FI-Let_tower1,ABC,2012,40.9317036,-1534.792544,1576.722602,EC,60.64183,23.95952,No,Boreal
Laurila_FI-Let_tower1,ABC,2010,39.931191,-1421.865974,1462.796584,EC,60.64183,23.95952,No,Boreal
Laurila_FI-Let_tower1,ABC,2011,-32.687018,-1490.848661,1459.162059,EC,60.64183,23.95952,No,Boreal
Laurila_FI-Kns_tower1,ABC,2005,-224.79,-954.51,730.1,EC,60.64683333,24.356167,No,Boreal
Laurila_FI-Kns_tower1,ABC,2007,-252.93,NA,845.79,EC,60.64683333,24.356167,No,Boreal
Laurila_FI-Kns_tower1,ABC,2008,-254.89,-1053.39,798.29,EC,60.64683333,24.356167,No,Boreal
Lindroth_SE-Kno_tower1,ABC,2006,94.18,-2262.55,2357.73,EC,60.99825,16.21727778,No,Boreal
CA-SCC,ABC,2014,-6.804405655,-438.4976261,432.6932205,,61.308222,-121.299028,Yes,Boreal
CA-SCC,ABC,2017,-13.21492752,-543.9066671,531.6917396,,61.308222,-121.299028,Yes,Boreal
Tuittila_FI-Sii_tower1,ABC,2013,-85.24737763,-465.005746,380.7583683,EC,61.83265,24.19285,No,Boreal
Tuittila_FI-Sii_tower1,ABC,2012,-91.84746026,-410.9415941,320.0941338,EC,61.83265,24.19285,No,Boreal
Tuittila_FI-Sii_tower1,ABC,2011,-10.13302181,-446.8659342,438.0172659,EC,61.83265,24.19285,No,Boreal
Tuittila_FI-Sii_tower1,ABC,2010,-43.91773301,-357.3551868,314.4374537,EC,61.83265,24.19285,No,Boreal
Vesala_FI-Hyy_tower1,ABC,1999,-155.3,-851.95,697.03,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2014,-272.476628,NA,NA,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2015,-295.347788,NA,NA,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2001,-184.89,-970.28,787.32,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2002,-230.52,-1071.89,843.25,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2003,-126.69,-989.27,863.57,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2004,-247.33,-968.96,722.94,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2006,-207.71,-977.81,769.87,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2007,-252.54,-1066.34,815.72,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2008,-238.14,-1014.32,777.15,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2017,-272.5595072,NA,NA,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2018,-295.5154904,NA,NA,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2010,-232.64,-1075.06,843.74,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2016,-269.1820232,NA,NA,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2013,-267.1418168,-1120.764519,854.6227019,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2009,-302.23,-1180.81,879.87,EC,61.84741,24.29477,No,Boreal
Vesala_FI-Hyy_tower1,ABC,2011,-280.7,-1282.52,1003.73,EC,61.84741,24.29477,No,Boreal
Gasovic_FI-Salm_tower1,ABC,2006,-92.8588159,-498.8822628,407.4473354,EC,62.7833,30.9333,No,Boreal
Gasovic_FI-Salm_tower1,ABC,2007,-154.2580355,-494.0904122,343.4970283,EC,62.7833,30.9333,No,Boreal
Schuur_US-EML_tower1,ABC,2009,40.05678305,-456.8323636,504.2516811,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2015,-33.23091862,-645.3239562,613.0930376,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2020,15.64784331,-561.2562973,577.9041405,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2010,-3.78929389,-443.8733848,436.4211972,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2016,82.56762682,-442.2222097,525.7898366,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2011,27.22460874,-362.0486733,393.6250206,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2012,68.37151141,-384.9057041,453.4442172,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2021,90.23426062,-520.7093507,611.9436113,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2017,61.59582091,-468.1459272,530.7417482,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2018,59.79780536,-478.1732298,538.9710352,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2019,7.38460419,-532.255868,540.6404723,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2013,120.5417194,-392.4625808,519.13049,EC,63.8784,-149.2536,Yes,Tundra
Schuur_US-EML_tower1,ABC,2014,120.5754861,-391.0166095,510.8740324,EC,63.8784,-149.2536,Yes,Tundra
Lindroth_SE-Fla_tower1,ABC,2001,-7.304768,-636.455744,630.150976,EC,64.11277777,19.45694444,No,Boreal
Lindroth_SE-Fla_tower1,ABC,2002,-144.971072,-789.549632,645.57856,EC,64.11277777,19.45694444,No,Boreal
Peichl_Ros3_Tower_1_Chi,SantaBarbs,2015,-334,-1104,771,Ec,64.16524087,19.7907312,No,Tundra
Peichl_Ros3_Tower_1_Chi,SantaBarbs,2016,-326,-1080,755,Ec,64.16524087,19.7907312,No,Tundra
Peichl_Ros3_Tower_1_Chi,SantaBarbs,2017,-213,-884,672,Ec,64.16524087,19.7907312,No,Tundra
Nilsson_SE-Deg_tower1,ABC,2008,-120.78,-262.16,142.98,EC,64.182029,19.556539,No,Boreal
Nilsson_SE-Deg_tower1,ABC,2009,NA,-241.64,196.25,EC,64.182029,19.556539,No,Boreal
Nilsson_SE-Deg_tower1,ABC,2004,-60.82,-341,280.57,EC,64.182029,19.556539,No,Boreal
Nilsson_SE-Deg_tower1,ABC,2001,-69.61,-301.78,233.18,EC,64.182029,19.556539,No,Boreal
Nilsson_SE-Deg_tower1,ABC,2007,-48.93,NA,241.92,EC,64.182029,19.556539,No,Boreal
Nilsson_SE-Deg_tower1,ABC,2002,-73.45,-369.14,296.99,EC,64.182029,19.556539,No,Boreal
Nilsson_SE-Deg_tower1,ABC,2005,-102.7,-356.23,254.23,EC,64.182029,19.556539,No,Boreal
Nilsson_SE-Deg_tower1,ABC,2006,-17.68,NA,252.15,EC,64.182029,19.556539,No,Boreal
Euskirchen_US-TFBog_tower2,ABC,2011,-63.7712843,NA,NA,EC,64.69555,-148.3208,Yes,Boreal
Euskirchen_US-TFBog_tower2,ABC,2012,-83.6957248,NA,NA,EC,64.69555,-148.3208,Yes,Boreal
Euskirchen_US-TFBog_tower2,ABC,2013,24.446627,NA,NA,EC,64.69555,-148.3208,Yes,Boreal
Euskirchen_US-TFBS_tower1,ABC,2011,-51.12719023,NA,NA,EC,64.69635,-148.3235,Yes,Boreal
Euskirchen_US-TFBS_tower1,ABC,2012,-79.2403773,NA,NA,EC,64.69635,-148.3235,Yes,Boreal
Euskirchen_US-TFBS_tower1,ABC,2013,62.328796,NA,NA,EC,64.69635,-148.3235,Yes,Boreal
Euskirchen_US-TFRF_tower3,ABC,2013,-129.332352,NA,NA,EC,64.703733,-148.313333,No,Boreal
Euskirchen_US-TFRF_tower3,ABC,2012,-38.6597536,NA,NA,EC,64.703733,-148.313333,No,Boreal
Iwata_US-Uaf_tower1,ABC,2013,3.889186833,-662.4432893,667.3324761,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2004,-40.24257458,-764.711686,696.8764053,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2014,83.49005658,-916.263904,1000.753961,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2007,8.1344874,-836.4588239,810.8490175,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2018,-1.837962417,-809.4596434,808.6216809,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2011,74.28006773,-837.2330736,912.5131414,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2012,-34.06981452,-765.476648,732.4068334,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2005,-34.26517748,-843.6019009,795.8649447,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2003,-38.14825077,-580.6950279,520.2137925,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2015,-66.09477878,-675.9922204,610.8974416,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2016,-48.22568093,-633.049563,585.823882,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2010,81.56963633,-814.1920102,896.7616467,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2006,40.50426129,-653.022926,668.1402043,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2008,-13.98822703,-687.6334925,647.6328102,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2009,45.23584608,-651.4408033,697.6766493,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Uaf_tower1,ABC,2017,-51.97808428,-741.8737338,690.8956496,EC,64.86627,-147.85553,Yes,Boreal
Iwata_US-Rpf_tower1,ABC,2018,-22.05812704,-848.2740166,827.2158895,EC,65.11983333,-147.5123528,No,Boreal
Iwata_US-Rpf_tower1,ABC,2017,-51.2,-759.1,708.9,EC,65.11983333,-147.5123528,No,Boreal
Iwata_US-Rpf_tower1,ABC,2011,-0.7,-405.3,405.5,EC,65.11983333,-147.5123528,No,Boreal
Iwata_US-Rpf_tower1,ABC,2012,-65.7,NA,406,EC,65.11983333,-147.5123528,No,Boreal
Iwata_US-Rpf_tower1,ABC,2013,70.7,-426.2,498,EC,65.11983333,-147.5123528,No,Boreal
Iwata_US-Rpf_tower1,ABC,2010,34.3,-430.9,466.3,EC,65.11983333,-147.5123528,No,Boreal
Iwata_US-Rpf_tower1,ABC,2009,53.4,NA,455.7,EC,65.11983333,-147.5123528,No,Boreal
Iwata_US-Rpf_tower1,ABC,2016,36.3,-743.2,780.6,EC,65.11983333,-147.5123528,No,Boreal
Iwata_US-Rpf_tower1,ABC,2014,126.6,-685.4,813,EC,65.11983333,-147.5123528,No,Boreal
Iwata_US-Rpf_tower1,ABC,2015,5.2,-637.1,643,EC,65.11983333,-147.5123528,No,Boreal
Iwata_US-Rpf_tower1,ABC,2019,-16.33425705,-934.2224556,918.8881986,EC,65.11983333,-147.5123528,No,Boreal
Nakai_US-Prr_tower1,ABC,2014,-42.16818395,-627.2564091,586.0882251,EC,65.12367,-147.48756,Yes,Boreal
Nakai_US-Prr_tower1,ABC,2011,-72.88393102,-656.1401767,584.2562457,EC,65.12367,-147.48756,Yes,Boreal
Nakai_US-Prr_tower1,ABC,2012,-83.106166,-651.4508129,569.3446469,EC,65.12367,-147.48756,Yes,Boreal
Nakai_US-Prr_tower1,ABC,2015,5.6944337,-704.8290031,711.5234367,EC,65.12367,-147.48756,Yes,Boreal
